Level_Code,University,City,Course,Faculty,Int_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Website,Course_Lang,Availability,Description,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
BA,Monash University,Melbourne,Computer Science,Computer Science & Information Technology,"42,800",AUD,Years,3.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/computer-science-c2001?international=true,English,A,"A Bachelor of Computer Science equips you to thrive in a diverse range of roles, from specialist programmer to forensic computer analyst. Guided by some of the greatest minds in the field, you’ll gain problem-solving, programming and analytical skills – and learn how to apply them in the real world.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Computer Science,Computer Science & Information Technology,"42,800",AUD,Years,1.0,Year,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/computer-science-c3702?international=true,English,A,"A Bachelor of Computer Science equips you to thrive in a diverse range of roles, from specialist programmer to forensic computer analyst. Guided by some of the greatest minds in the field, you’ll gain problem-solving, programming and analytical skills – and learn how to apply them in the real world.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Computer Science Advanced,Computer Science & Information Technology,"42,800",AUD,Years,4.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/computer-science-advanced-c3001?international=true,English,A,"The Bachelor of Computer Science Advanced (Honours) suits high achievers looking to enhance their research and programming skills – and gain hands-on experience. The course prepares you to fast track a masters, complete a PhD or pursue careers such as chief information officer and data architect.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Criminology,Law,"33,000",AUD,Years,3.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/criminology-a2008?international=true,English,A,"In the Bachelor of Criminology at Monash, you’ll learn to identify credible evidence, understand how to measure and analyse the impact of policy, and develop solutions to real-world problems of crime and justice. Equip yourself with the skills and knowledge relevant to careers in Criminology.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Criminology and Information Technology,Computer Science & Information Technology,"42,800",AUD,Years,4.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/criminology-and-information-technology-a2009?international=true,English,A,"The Bachelor of Criminology and Bachelor of Information Technology double degree equips students with industry-relevant specialist skills to prepare for working and living in a world of constant technological, environmental, political and population change.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Design,Creative Arts & Design & Music,"34,100",AUD,Years,3.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/design-f2010?international=true,English,A,"With specialisations in Communication Design, Industrial Design, Spatial Design or Collaborative Design, our Bachelor of Design degree responds to the increasing global demand for designers who can respond to the complexity of contemporary global society, be inclusive and ethical and contribute sustainably. Our most complex challenges are a call to action for all designers.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Design,Creative Arts & Design & Music,"32,860",AUD,Years,1.0,Year,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/design-f3703?international=true,English,A,"With specialisations in Communication Design, Industrial Design, Spatial Design or Collaborative Design, our Bachelor of Design degree responds to the increasing global demand for designers who can respond to the complexity of contemporary global society, be inclusive and ethical and contribute sustainably. Our most complex challenges are a call to action for all designers.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Design and Business,Business & Economics,"45,000",AUD,Years,4.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/design-and-business-f2011?international=true,English,A,Gain the entrepreneurial edge by combining design and business in the double degree to learn contemporary design thinking and production skills while developing the business knowledge to support your creative endeavours or those of others.,Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Design and Information Technology,Computer Science & Information Technology,"42,800",AUD,Years,4.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/design-and-information-technology-f2012?international=true,English,A,"Create ‘smart’ products, sophisticated interactive tools, or the next generation of gaming devices or wearable technologies. You’ll graduate with two degrees, able to develop solutions that combine compelling design with the latest technologies.",Australia,No,Yes,No,Yes,No,
BA,Monash University,Melbourne,Design and Media Communication,Mass Communication & Media,"33,800",AUD,Years,4.0,Years,Yes,No,IELTS,Equivalent AQF Degree Level,6.5,Year 12,https://www.monash.edu/study/courses/find-a-course/2021/design-and-media-communication-f2009?international=true,English,A,"Design and Media Communication unite in this unique, globally-relevant double degree that blends the visual language of design with the literary and narrative skills of professional communication.",Australia,No,Yes,No,Yes,No,
